date,atm_id,location_type,day_of_week,is_weekend,withdrawal_amount
2023-01-01,ATM_1,Urban,Sunday,1,754244
2023-01-02,ATM_1,Urban,Monday,0,597533
2023-01-03,ATM_1,Urban,Tuesday,0,608805
2023-01-04,ATM_1,Urban,Wednesday,0,749077
2023-01-05,ATM_1,Urban,Thursday,0,662700
2023-01-06,ATM_1,Urban,Friday,0,534238
2023-01-07,ATM_1,Urban,Saturday,1,516588
2023-01-08,ATM_1,Urban,Sunday,1,495005
2023-01-09,ATM_1,Urban,Monday,0,525044
2023-01-10,ATM_1,Urban,Tuesday,0,514829
2023-01-11,ATM_1,Urban,Wednesday,0,428074
2023-01-12,ATM_1,Urban,Thursday,0,520611
2023-01-13,ATM_1,Urban,Friday,0,545504
2023-01-14,ATM_1,Urban,Saturday,1,674556
2023-01-15,ATM_1,Urban,Sunday,1,541091
2023-01-16,ATM_1,Urban,Monday,0,468201
2023-01-17,ATM_1,Urban,Tuesday,0,497351
2023-01-18,ATM_1,Urban,Wednesday,0,435030
2023-01-19,ATM_1,Urban,Thursday,0,708761
2023-01-20,ATM_1,Urban,Friday,0,619574
2023-01-21,ATM_1,Urban,Saturday,1,498398
2023-01-22,ATM_1,Urban,Sunday,1,567706
2023-01-23,ATM_1,Urban,Monday,0,406908
2023-01-24,ATM_1,Urban,Tuesday,0,411202
2023-01-25,ATM_1,Urban,Wednesday,0,455248
2023-01-26,ATM_1,Urban,Thursday,0,390659
2023-01-27,ATM_1,Urban,Friday,0,608520
2023-01-28,ATM_1,Urban,Saturday,1,468736
2023-01-29,ATM_1,Urban,Sunday,1,714568
2023-01-30,ATM_1,Urban,Monday,0,449495
2023-01-31,ATM_1,Urban,Tuesday,0,428289
2023-02-01,ATM_1,Urban,Wednesday,0,518685
2023-02-02,ATM_1,Urban,Thursday,0,589971
2023-02-03,ATM_1,Urban,Friday,0,605168
2023-02-04,ATM_1,Urban,Saturday,1,745103
2023-02-05,ATM_1,Urban,Sunday,1,790812
2023-02-06,ATM_1,Urban,Monday,0,572793
2023-02-07,ATM_1,Urban,Tuesday,0,599503
2023-02-08,ATM_1,Urban,Wednesday,0,645880
2023-02-09,ATM_1,Urban,Thursday,0,485593
2023-02-10,ATM_1,Urban,Friday,0,366668
2023-02-11,ATM_1,Urban,Saturday,1,620527
2023-02-12,ATM_1,Urban,Sunday,1,555178
2023-02-13,ATM_1,Urban,Monday,0,594505
2023-02-14,ATM_1,Urban,Tuesday,0,527539
2023-02-15,ATM_1,Urban,Wednesday,0,586320
2023-02-16,ATM_1,Urban,Thursday,0,384906
2023-02-17,ATM_1,Urban,Friday,0,545261
2023-02-18,ATM_1,Urban,Saturday,1,560361
2023-02-19,ATM_1,Urban,Sunday,1,485764
2023-02-20,ATM_1,Urban,Monday,0,463394
2023-02-21,ATM_1,Urban,Tuesday,0,450701
2023-02-22,ATM_1,Urban,Wednesday,0,545467
2023-02-23,ATM_1,Urban,Thursday,0,434246
2023-02-24,ATM_1,Urban,Friday,0,421740
2023-02-25,ATM_1,Urban,Saturday,1,481113
2023-02-26,ATM_1,Urban,Sunday,1,637406
2023-02-27,ATM_1,Urban,Monday,0,485002
2023-02-28,ATM_1,Urban,Tuesday,0,528753
2023-03-01,ATM_1,Urban,Wednesday,0,773308
2023-03-02,ATM_1,Urban,Thursday,0,541300
2023-03-03,ATM_1,Urban,Friday,0,618939
2023-03-04,ATM_1,Urban,Saturday,1,803277
2023-03-05,ATM_1,Urban,Sunday,1,747897
2023-03-06,ATM_1,Urban,Monday,0,640518
2023-03-07,ATM_1,Urban,Tuesday,0,548983
2023-03-08,ATM_1,Urban,Wednesday,0,511686
2023-03-09,ATM_1,Urban,Thursday,0,638515
2023-03-10,ATM_1,Urban,Friday,0,529555
2023-03-11,ATM_1,Urban,Saturday,1,640912
2023-03-12,ATM_1,Urban,Sunday,1,725716
2023-03-13,ATM_1,Urban,Monday,0,495144
2023-03-14,ATM_1,Urban,Tuesday,0,405940
2023-03-15,ATM_1,Urban,Wednesday,0,496956
2023-03-16,ATM_1,Urban,Thursday,0,413307
2023-03-17,ATM_1,Urban,Friday,0,642203
2023-03-18,ATM_1,Urban,Saturday,1,585332
2023-03-19,ATM_1,Urban,Sunday,1,501217
2023-03-20,ATM_1,Urban,Monday,0,407648
2023-03-21,ATM_1,Urban,Tuesday,0,469087
2023-03-22,ATM_1,Urban,Wednesday,0,530073
2023-03-23,ATM_1,Urban,Thursday,0,563757
2023-03-24,ATM_1,Urban,Friday,0,573140
2023-03-25,ATM_1,Urban,Saturday,1,637584
2023-03-26,ATM_1,Urban,Sunday,1,631377
2023-03-27,ATM_1,Urban,Monday,0,418174
2023-03-28,ATM_1,Urban,Tuesday,0,545590
2023-03-29,ATM_1,Urban,Wednesday,0,592628
2023-03-30,ATM_1,Urban,Thursday,0,528058
2023-03-31,ATM_1,Urban,Friday,0,570994
2023-04-01,ATM_1,Urban,Saturday,1,868882
2023-04-02,ATM_1,Urban,Sunday,1,777095
2023-04-03,ATM_1,Urban,Monday,0,709042
2023-04-04,ATM_1,Urban,Tuesday,0,827543
2023-04-05,ATM_1,Urban,Wednesday,0,621981
2023-04-06,ATM_1,Urban,Thursday,0,577724
2023-04-07,ATM_1,Urban,Friday,0,541016
2023-04-08,ATM_1,Urban,Saturday,1,468136
2023-04-09,ATM_1,Urban,Sunday,1,580483
2023-04-10,ATM_1,Urban,Monday,0,475563
2023-04-11,ATM_1,Urban,Tuesday,0,487301
2023-04-12,ATM_1,Urban,Wednesday,0,601985
2023-04-13,ATM_1,Urban,Thursday,0,683193
2023-04-14,ATM_1,Urban,Friday,0,508368
2023-04-15,ATM_1,Urban,Saturday,1,603535
2023-04-16,ATM_1,Urban,Sunday,1,575596
2023-04-17,ATM_1,Urban,Monday,0,574028
2023-04-18,ATM_1,Urban,Tuesday,0,437524
2023-04-19,ATM_1,Urban,Wednesday,0,579208
2023-04-20,ATM_1,Urban,Thursday,0,546749
2023-04-21,ATM_1,Urban,Friday,0,401653
2023-04-22,ATM_1,Urban,Saturday,1,441262
2023-04-23,ATM_1,Urban,Sunday,1,662112
2023-04-24,ATM_1,Urban,Monday,0,507148
2023-04-25,ATM_1,Urban,Tuesday,0,427082
2023-04-26,ATM_1,Urban,Wednesday,0,512542
2023-04-27,ATM_1,Urban,Thursday,0,441054
2023-04-28,ATM_1,Urban,Friday,0,511501
2023-04-29,ATM_1,Urban,Saturday,1,583934
2023-04-30,ATM_1,Urban,Sunday,1,593984
2023-05-01,ATM_1,Urban,Monday,0,472032
2023-05-02,ATM_1,Urban,Tuesday,0,604029
2023-05-03,ATM_1,Urban,Wednesday,0,633849
2023-05-04,ATM_1,Urban,Thursday,0,706930
2023-05-05,ATM_1,Urban,Friday,0,704658
2023-05-06,ATM_1,Urban,Saturday,1,608239
2023-05-07,ATM_1,Urban,Sunday,1,511775
2023-05-08,ATM_1,Urban,Monday,0,494138
2023-05-09,ATM_1,Urban,Tuesday,0,541989
2023-05-10,ATM_1,Urban,Wednesday,0,438419
2023-05-11,ATM_1,Urban,Thursday,0,598995
2023-05-12,ATM_1,Urban,Friday,0,583357
2023-05-13,ATM_1,Urban,Saturday,1,755101
2023-05-14,ATM_1,Urban,Sunday,1,565898
2023-05-15,ATM_1,Urban,Monday,0,479325
2023-05-16,ATM_1,Urban,Tuesday,0,408802
2023-05-17,ATM_1,Urban,Wednesday,0,472608
2023-05-18,ATM_1,Urban,Thursday,0,533069
2023-05-19,ATM_1,Urban,Friday,0,354942
2023-05-20,ATM_1,Urban,Saturday,1,461567
2023-05-21,ATM_1,Urban,Sunday,1,698262
2023-05-22,ATM_1,Urban,Monday,0,579483
2023-05-23,ATM_1,Urban,Tuesday,0,594172
2023-05-24,ATM_1,Urban,Wednesday,0,445326
2023-05-25,ATM_1,Urban,Thursday,0,530780
